REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;PI;GILBUES;A364;-9.87527777;-45.34583333;425.1;;;;;;;;;;0.0082191780821917;0.0;0.0;0.0;0.0575342465753424;0.0;0.010958904109589;0.0273224043715847;0.210958904109589;0.2246575342465753;0.0;0.412568306010929;0.6821917808219178
SE;SP;SAO MIGUEL ARCANJO;A715;-23.85194444;-48.16472222;675.68;;;;;;;0.0;0.0;0.0;0.0027397260273972;0.3041095890410959;0.0;0.0191256830601092;0.0986301369863013;0.3287671232876712;0.0;0.0437158469945355;0.2054794520547945;0.0;0.0;0.0;0.2876712328767123
CO;MT;ALTO ARAGUAIA;A909;-17.33944444;-53.22444443;753.28;;;;;;;;;;;;0.010958904109589;0.0;0.010958904109589;0.0;0.1315068493150684;0.0027322404371584;0.0;0.0;0.1616438356164383;0.0;0.136986301369863
S;RS;SAO JOSE DOS AUSENTES;A829;-28.7486111;-50.05777777;1228.59;;;;;;;0.0164383561643835;0.0082191780821917;0.0;0.0;0.0;0.0;0.0;0.0;0.0027397260273972;0.0520547945205479;0.2459016393442623;0.0;0.0;0.0273972602739726;0.0;0.1315068493150684
CO;GO;GOIANESIA;A022;-15.22027777;-48.98999999;667.01;;;;;;;;0.0;0.180327868852459;0.0;0.0;0.0027397260273972;0.0218579234972677;0.0;0.0;0.0;0.0327868852459016;0.0;0.0657534246575342;0.0;0.0109289617486338;0.021917808219178
CO;MT;SINOP;A917;-11.98222221;-55.56611111;366.57;;;;;;;0.010958904109589;0.0;0.0054644808743169;0.0054794520547945;0.0;0.0958904109589041;0.0;0.0684931506849315;0.3424657534246575;0.0328767123287671;0.1502732240437158;0.0821917808219178;0.073972602739726;0.0;0.494535519125683;1.0
SE;MG;SERRA DOS AIMORES;A522;-17.79888888;-40.25;211.97;;;;;;;0.0;0.0082191780821917;0.0;0.0;0.084931506849315;0.1506849315068493;0.0;0.0;0.0;0.1232876712328767;0.1693989071038251;0.1506849315068493;0.0;0.0;0.0519125683060109;0.084931506849315
SE;ES;ALFREDO CHAVES;A615;-20.63638888;-40.74194444;14.19;;;;;;;0.0;0.0;0.0054644808743169;0.0;0.0;0.0;0.0;0.0;0.0136986301369863;0.0;0.0;0.210958904109589;0.0;0.0;0.2513661202185792;0.0
NE;CE;TIANGUA;A368;-3.73222221;-41.01194444;756.0;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.6410958904109589
NE;PI;CANTO DO BURITI;A365;-8.117939;-42.975721;312.07;;;;;;;;;;;0.010958904109589;0.0;0.0;0.0136986301369863;0.0;0.0;0.0;0.0082191780821917;0.2246575342465753;0.0;0.0;0.0
NE;BA;SANTA RITA DE CASSIA;A415;-11.00277777;-44.52499999;450.01;;;;;;;;0.010958904109589;0.0054644808743169;0.0;0.0082191780821917;0.0;0.0;0.0;0.0684931506849315;0.1917808219178082;0.0027322404371584;0.0;0.0;0.0493150684931506;1.0;0.9095890410958904
N;PA;ITAITUBA;A231;-4.27694443;-55.99305555;24.46;;;;;;;;;0.3224043715846995;0.0;0.0;0.0136986301369863;0.0;0.2986301369863013;0.4465753424657534;0.0;0.087431693989071;0.1698630136986301;0.4082191780821917;0.0;0.2923497267759563;1.0
CO;MT;SAO FELIX  DO ARAGUAIA;A921;-11.61888888;-50.72777777;201.37;;;;;;;;0.1561643835616438;0.6994535519125683;0.0;0.2876712328767123;0.589041095890411;0.0;0.0904109589041095;0.0;0.8712328767123287;0.0;0.3342465753424657;0.0684931506849315;0.4630136986301369;0.0355191256830601;0.3342465753424657
S;PR;VENTANIA;A872;-24.28027777;-50.21027777;1093.41;;;;;;;;;;;;0.1178082191780822;0.0;0.0;0.0082191780821917;0.0;0.0;0.0465753424657534;0.0;0.2712328767123287;0.9453551912568308;1.0
N;AM;APUI;A113;-7.20555555;-59.8886111;156.97;;;;;;;;;0.0327868852459016;0.0;0.0;0.0;0.0;0.0;0.0;0.0027397260273972;0.0054644808743169;0.5315068493150685;0.6246575342465753;0.7863013698630137;0.2158469945355191;1.0
CO;MT;ITIQUIRA;A933;-17.17499999;-54.50166666;593.12;;;;;;;;;0.0027322404371584;0.0;0.0;0.3808219178082191;0.1393442622950819;0.0;0.0;0.0;0.0054644808743169;0.0;0.0027397260273972;0.1041095890410958;1.0;1.0
SE;MG;MANTENA;A540;-18.78062;-40.986505;254.91;;;;;;;;0.0082191780821917;0.0;0.0;0.0136986301369863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0493150684931506;0.0;0.0
SE;RJ;CAMPOS DOS GOYTACAZES;A607;-21.71472222;-41.34388888;17.0;;;;;;;0.0;0.0;0.0054644808743169;0.0;0.0136986301369863;0.0027397260273972;0.0;0.0438356164383561;0.0;0.0;0.0;0.1589041095890411;0.0;0.0;0.0;0.0
CO;GO;MINEIROS;A026;-17.45472222;-52.60111111;862.0;;;;;;;;0.0;0.0054644808743169;0.0;0.0657534246575342;0.0;0.081967213114754;0.0;0.0;0.0;0.1475409836065573;0.3780821917808219;0.3013698630136986;0.0;0.0;0.2657534246575342
NE;SE;POCO VERDE;A419;-10.73805555;-38.10833333;367.01;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.1068493150684931;0.0;0.2136986301369863;0.0;0.0958904109589041;0.0;0.2547945205479452;0.0027322404371584;0.0
SE;MG;TRES MARIAS;A528;-18.200855;-45.459836;931.01;;;;;;;0.0;0.0082191780821917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2349726775956284;0.0;0.0;0.0;0.0081967213114754;0.0
NE;BA;FEIRA DE SANTANA;A413;-12.1961111;-38.96749999;229.64;;;;;;;;0.0;0.0054644808743169;0.0;0.0;0.0;0.0710382513661202;0.0602739726027397;0.0;0.2;0.1721311475409836;0.0;0.0;0.0;0.1475409836065573;0.5753424657534246
SE;RJ;SAQUAREMA - SAMPAIO CORREIA;A667;-22.8711111;-42.60888888;26.0;;;;;;;;;;;;;;;;0.0027397260273972;0.0437158469945355;0.073972602739726;0.0;0.0;0.0;0.0
